Index,File,True_Label,Pred_Label,Error_Type,Confidence
11,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/IM-0015-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.7378
12,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/IM-0016-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.69
16,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/IM-0022-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.9985
20,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/IM-0028-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.8291
22,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/IM-0030-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.5956
45,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/IM-0073-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.9971
46,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/IM-0075-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.9855
52,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/IM-0085-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.8699
56,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/IM-0091-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.9134
67,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/IM-0110-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.9751
88,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0072-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.5075
101,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0111-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.5647
103,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0117-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.8484
105,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0123-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.509
117,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0173-0001-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.766
118,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0173-0001-0002.jpeg,NORMAL,PNEUMONIA,False Positive,0.766
119,/kaggle/input/datasets/paultimothymooney/chest-xray-pneumonia/chest_xray/test/NORMAL/NORMAL2-IM-0195-0001.jpeg,NORMAL,PNEUMONIA,False Positive,0.8995
